epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.9355,1.3239,4.39061,1.74593,0.88842,0.03878,0.08976,0.04687,1.18629,3.24173,1.97061,0.000103531,0.000103531,0.000103531
2,64.6409,1.12847,3.82169,1.56319,0.46375,0.21364,0.1667,0.10425,1.18694,2.7189,1.96254,0.000199633,0.000199633,0.000199633
3,94.56,1.14438,3.4279,1.5764,0.62758,0.22613,0.26853,0.15036,1.30346,2.38291,2.05854,0.000287471,0.000287471,0.000287471
4,121.219,1.12599,3.04508,1.56218,0.4312,0.4524,0.31982,0.20056,1.17754,2.18526,1.8994,0.000275816,0.000275816,0.000275816
5,150.622,1.11692,2.86658,1.54823,0.4439,0.48423,0.44323,0.27193,1.19071,2.00794,1.91568,0.000263421,0.000263421,0.000263421
6,179.76,1.10171,2.68734,1.53261,0.53865,0.42428,0.4562,0.28085,1.20559,2.04742,1.90037,0.000251026,0.000251026,0.000251026
7,206.482,1.08104,2.5399,1.50483,0.67113,0.51939,0.59727,0.36694,1.14159,1.59656,1.82735,0.000238631,0.000238631,0.000238631
8,235.961,1.07715,2.42355,1.49376,0.71598,0.49511,0.61505,0.37613,1.22717,1.50876,1.90887,0.000226236,0.000226236,0.000226236
9,263.161,1.07283,2.35557,1.48361,0.57408,0.6617,0.66054,0.42944,1.18315,1.43093,1.85654,0.000213842,0.000213842,0.000213842
10,291.545,1.07024,2.28477,1.48631,0.58254,0.62016,0.68259,0.42824,1.16691,1.35994,1.82387,0.000201447,0.000201447,0.000201447
11,321.067,1.03365,2.21149,1.46804,0.74695,0.66902,0.74997,0.47439,1.124,1.26397,1.78768,0.000189052,0.000189052,0.000189052
12,347.519,1.0393,2.13452,1.45678,0.82391,0.55343,0.73419,0.48185,1.09544,1.25457,1.76219,0.000176657,0.000176657,0.000176657
13,377.253,1.01673,2.0368,1.44796,0.73767,0.64117,0.71689,0.46897,1.11466,1.29284,1.76098,0.000164262,0.000164262,0.000164262
14,405.061,0.99518,1.955,1.42601,0.73231,0.66807,0.76083,0.4897,1.10599,1.2172,1.74876,0.000151868,0.000151868,0.000151868
15,432.877,0.99313,1.90812,1.40275,0.65602,0.73821,0.75943,0.49112,1.11509,1.2035,1.768,0.000139473,0.000139473,0.000139473
16,462.408,0.95434,2.18277,1.55097,0.82588,0.67655,0.78867,0.51447,1.10006,1.16566,1.73294,0.000127078,0.000127078,0.000127078
17,488.418,0.92168,1.99658,1.5216,0.76456,0.76126,0.83,0.57441,1.04897,1.10658,1.66917,0.000114683,0.000114683,0.000114683
18,517.308,0.91496,1.91552,1.4979,0.73317,0.75192,0.80468,0.5682,1.02797,1.09087,1.65781,0.000102288,0.000102288,0.000102288
19,543.889,0.8713,1.83305,1.44797,0.76706,0.78311,0.81583,0.57328,1.03758,1.04753,1.67735,8.98936e-05,8.98936e-05,8.98936e-05
20,572.382,0.88051,1.76882,1.45215,0.78118,0.81023,0.83178,0.58575,1.03131,0.99624,1.65712,7.74988e-05,7.74988e-05,7.74988e-05
21,599.751,0.856,1.6903,1.42637,0.75673,0.81395,0.83649,0.59666,1.02023,1.00924,1.63971,6.5104e-05,6.5104e-05,6.5104e-05
22,626.191,0.85629,1.63759,1.44444,0.7968,0.80556,0.84207,0.59848,1.03799,0.98228,1.65484,5.27092e-05,5.27092e-05,5.27092e-05
23,654.12,0.83591,1.63256,1.43335,0.83205,0.77255,0.83664,0.58954,1.01457,0.97869,1.63599,4.03144e-05,4.03144e-05,4.03144e-05
24,680.047,0.80232,1.57876,1.38939,0.84658,0.77811,0.84155,0.59929,1.01223,0.96852,1.63088,2.79196e-05,2.79196e-05,2.79196e-05
25,711.118,0.81793,1.58605,1.38166,0.82615,0.78762,0.84216,0.60424,1.01254,0.96373,1.63527,1.55248e-05,1.55248e-05,1.55248e-05
